dist,estimator,col,relb_coef
norm_mix1,mice_rf,X,-0.0725272215760626
norm_mix1,mice_rf,X^2,0.029032504384931063
norm_mix1,mice_br,X,2.0680793744176666e-08
norm_mix1,mice_br,X^2,-5.414430459538259e-09
norm_mix1,knn,X,-0.16191085099756752
norm_mix1,knn,X^2,0.05933837624709618
norm_mix1,mice_rf,X,0.016084530109937517
norm_mix1,mice_rf,X^2,0.0037470776930330586
norm_mix1,mice_br,X,-1.733402210657434e-07
norm_mix1,mice_br,X^2,4.310388246331338e-08
norm_mix1,knn,X,-0.26427160558714236
norm_mix1,knn,X^2,0.09325083172902073
norm_mix1,mice_rf,X,-0.19843691695859836
norm_mix1,mice_rf,X^2,0.07000033967523042
norm_mix1,mice_br,X,-1.2137686344893005e-07
norm_mix1,mice_br,X^2,3.1132881606055194e-08
norm_mix1,knn,X,-0.5258402045049309
norm_mix1,knn,X^2,0.17717289994489263
norm_mix1,mice_rf,X,0.04828630805515866
norm_mix1,mice_rf,X^2,0.0009243377641763304
norm_mix1,mice_br,X,5.1386757737858944e-08
norm_mix1,mice_br,X^2,-1.3468595350119014e-08
norm_mix1,knn,X,-0.38607802961734966
norm_mix1,knn,X^2,0.13861837803673713
norm_mix1,mice_rf,X,-0.1835092274241655
norm_mix1,mice_rf,X^2,0.06349114109772323
norm_mix1,mice_br,X,-1.2682734384927838e-07
norm_mix1,mice_br,X^2,3.201298492960802e-08
norm_mix1,knn,X,-0.40493974684220546
norm_mix1,knn,X^2,0.13259462317027212
norm_mix1,mice_rf,X,0.04135001154061274
norm_mix1,mice_rf,X^2,-0.005274416426755184
norm_mix1,mice_br,X,-2.396705549578829e-07
norm_mix1,mice_br,X^2,5.972851635505086e-08
norm_mix1,knn,X,-0.153567597252078
norm_mix1,knn,X^2,0.05174661322383438
norm_mix1,mice_rf,X,-0.2790714941342246
norm_mix1,mice_rf,X^2,0.09392077162514686
norm_mix1,mice_br,X,2.2478109928947276e-07
norm_mix1,mice_br,X^2,-5.6736755293940164e-08
norm_mix1,knn,X,-0.3238790619818752
norm_mix1,knn,X^2,0.10890639504619923
norm_mix1,mice_rf,X,-0.20288950983623608
norm_mix1,mice_rf,X^2,0.07579896986337156
norm_mix1,mice_br,X,3.2731572918720594e-07
norm_mix1,mice_br,X^2,-8.546446783608277e-08
norm_mix1,knn,X,-0.31283066963575273
norm_mix1,knn,X^2,0.11163921672804016
norm_mix1,mice_rf,X,-0.38073550472314965
norm_mix1,mice_rf,X^2,0.12612349292979777
norm_mix1,mice_br,X,1.7181720113335014e-07
norm_mix1,mice_br,X^2,-4.331028513604456e-08
norm_mix1,knn,X,-0.5334440647811667
norm_mix1,knn,X^2,0.17639618281721534
norm_mix1,mice_rf,X,-0.25466215037671525
norm_mix1,mice_rf,X^2,0.08703721954652303
norm_mix1,mice_br,X,1.102680368125775e-07
norm_mix1,mice_br,X^2,-2.802137122337457e-08
norm_mix1,knn,X,-0.2879396340952869
norm_mix1,knn,X^2,0.09722059675374033
norm_mix1,mice_rf,X,-0.22301615448323422
norm_mix1,mice_rf,X^2,0.07736170513305327
norm_mix1,mice_br,X,4.760139993287297e-08
norm_mix1,mice_br,X^2,-1.2029748308606253e-08
norm_mix1,knn,X,-0.36601553396317765
norm_mix1,knn,X^2,0.1232563161167925
norm_mix1,mice_rf,X,0.10666911443343167
norm_mix1,mice_rf,X^2,-0.021110895544735418
norm_mix1,mice_br,X,-3.4396852388596366e-07
norm_mix1,mice_br,X^2,8.531102646536217e-08
norm_mix1,knn,X,-0.23112987879254437
norm_mix1,knn,X^2,0.07735971612407835
norm_mix1,mice_rf,X,-0.45531865771820773
norm_mix1,mice_rf,X^2,0.1582260829176884
norm_mix1,mice_br,X,-1.8921739264321568e-07
norm_mix1,mice_br,X^2,5.0648063520952726e-08
norm_mix1,knn,X,-0.6621609398158926
norm_mix1,knn,X^2,0.23462991315154647
norm_mix1,mice_rf,X,-0.013702676737441768
norm_mix1,mice_rf,X^2,0.01495106001547318
norm_mix1,mice_br,X,2.500818065964698e-07
norm_mix1,mice_br,X^2,-6.426120469082969e-08
norm_mix1,knn,X,-0.2512274287020927
norm_mix1,knn,X^2,0.0865770625099235
norm_mix1,mice_rf,X,-0.2558453904412465
norm_mix1,mice_rf,X^2,0.08961565573824554
norm_mix1,mice_br,X,-8.441905507972063e-08
norm_mix1,mice_br,X^2,2.2711880154346903e-08
norm_mix1,knn,X,-0.4308462700944905
norm_mix1,knn,X^2,0.1516650272122776
norm_mix1,mice_rf,X,-0.2734068476748501
norm_mix1,mice_rf,X^2,0.0886660399732807
norm_mix1,mice_br,X,8.219111435892047e-08
norm_mix1,mice_br,X^2,-2.0422656898944043e-08
norm_mix1,knn,X,-0.3822301183917587
norm_mix1,knn,X^2,0.12250214629379746
norm_mix1,mice_rf,X,-0.12875647565108453
norm_mix1,mice_rf,X^2,0.051514466330962065
norm_mix1,mice_br,X,1.3986614577632384e-07
norm_mix1,mice_br,X^2,-3.627138900341723e-08
norm_mix1,knn,X,-0.3151308510423715
norm_mix1,knn,X^2,0.10881006507710644
norm_mix1,mice_rf,X,-0.1064836038414704
norm_mix1,mice_rf,X^2,0.04140848109336737
norm_mix1,mice_br,X,3.0524663907627354e-08
norm_mix1,mice_br,X^2,-7.699598403299037e-09
norm_mix1,knn,X,-0.18609179273563028
norm_mix1,knn,X^2,0.06332012618349582
norm_mix1,mice_rf,X,0.005659534097845352
norm_mix1,mice_rf,X^2,0.00047079160071916725
norm_mix1,mice_br,X,4.911688833431061e-09
norm_mix1,mice_br,X^2,-1.2653338377077723e-09
norm_mix1,knn,X,-0.4517139302197025
norm_mix1,knn,X^2,0.14770480444565443
norm_mix1,mice_rf,X,-0.1780797986572484
norm_mix1,mice_rf,X^2,0.06211774772636394
norm_mix1,mice_br,X,2.471081117505486e-10
norm_mix1,mice_br,X^2,-8.427702979929567e-11
norm_mix1,knn,X,-0.3024779570484544
norm_mix1,knn,X^2,0.10528073414084664
norm_mix1,mice_rf,X,-0.10422277075921604
norm_mix1,mice_rf,X^2,0.036147676714843195
norm_mix1,mice_br,X,-2.446519127285998e-07
norm_mix1,mice_br,X^2,6.131113927665409e-08
norm_mix1,knn,X,-0.28449443135638697
norm_mix1,knn,X^2,0.09200680597900023
norm_mix1,mice_rf,X,-0.43722301603030755
norm_mix1,mice_rf,X^2,0.15704949787731212
norm_mix1,mice_br,X,7.445584238041638e-08
norm_mix1,mice_br,X^2,-2.0331139993778874e-08
norm_mix1,knn,X,-0.7045626992836237
norm_mix1,knn,X^2,0.2619981489986596
norm_mix1,mice_rf,X,-0.23137513412807784
norm_mix1,mice_rf,X^2,0.07673183844513978
norm_mix1,mice_br,X,-1.9071296208927897e-08
norm_mix1,mice_br,X^2,4.742806591906396e-09
norm_mix1,knn,X,-0.28502326900712194
norm_mix1,knn,X^2,0.0933897114815684
norm_mix1,mice_rf,X,-0.16483776045400808
norm_mix1,mice_rf,X^2,0.05867321459218175
norm_mix1,mice_br,X,6.236886607169362e-08
norm_mix1,mice_br,X^2,-1.5766538963291048e-08
norm_mix1,knn,X,-0.32259478331325814
norm_mix1,knn,X^2,0.10786687439567984
norm_mix1,mice_rf,X,-0.21422721608194142
norm_mix1,mice_rf,X^2,0.07445481017537124
norm_mix1,mice_br,X,2.464106645394527e-07
norm_mix1,mice_br,X^2,-6.329312718378331e-08
norm_mix1,knn,X,-0.42149727799679015
norm_mix1,knn,X^2,0.1474624648600553
norm_mix1,mice_rf,X,-0.26881477714988417
norm_mix1,mice_rf,X^2,0.09404732401942997
norm_mix1,mice_br,X,3.4970462081673885e-08
norm_mix1,mice_br,X^2,-9.242037357637402e-09
norm_mix1,knn,X,-0.4855516690450636
norm_mix1,knn,X^2,0.16981091353658975
norm_mix1,mice_rf,X,-0.06675164844337239
norm_mix1,mice_rf,X^2,0.02492038854090927
norm_mix1,mice_br,X,1.1808767153009834e-07
norm_mix1,mice_br,X^2,-3.013064753254468e-08
norm_mix1,knn,X,-0.16420928489829825
norm_mix1,knn,X^2,0.05534336505626623
norm_mix1,mice_rf,X,-0.33572194301147434
norm_mix1,mice_rf,X^2,0.11809961494777425
norm_mix1,mice_br,X,-5.0317402133792476e-08
norm_mix1,mice_br,X^2,1.3190465386614372e-08
norm_mix1,knn,X,-0.655331251409797
norm_mix1,knn,X^2,0.21714468620983196
norm_mix1,mice_rf,X,-0.18042405044068593
norm_mix1,mice_rf,X^2,0.06155233935871507
norm_mix1,mice_br,X,-2.4478469207167527e-07
norm_mix1,mice_br,X^2,6.467133606413723e-08
norm_mix1,knn,X,-0.34215252901589277
norm_mix1,knn,X^2,0.11649484617551907
norm_mix1,mice_rf,X,-0.12792492690033697
norm_mix1,mice_rf,X^2,0.045209909119286996
norm_mix1,mice_br,X,-1.0665605254533981e-07
norm_mix1,mice_br,X^2,2.747514660228488e-08
norm_mix1,knn,X,-0.25535604568966375
norm_mix1,knn,X^2,0.08668218858307615
norm_mix1,mice_rf,X,0.031206291969270925
norm_mix1,mice_rf,X^2,0.00031668431307974054
norm_mix1,mice_br,X,8.187745392795842e-08
norm_mix1,mice_br,X^2,-2.0833804792452795e-08
norm_mix1,knn,X,-0.23326640757124456
norm_mix1,knn,X^2,0.08200090497015516
norm_mix1,mice_rf,X,-0.22009348443882853
norm_mix1,mice_rf,X^2,0.0736273124838955
norm_mix1,mice_br,X,2.949618410630357e-07
norm_mix1,mice_br,X^2,-7.34282962211453e-08
norm_mix1,knn,X,-0.3305772279826166
norm_mix1,knn,X^2,0.10676017830710904
norm_mix1,mice_rf,X,-0.6457179200464257
norm_mix1,mice_rf,X^2,0.23546007202221758
norm_mix1,mice_br,X,1.5357891625100761e-07
norm_mix1,mice_br,X^2,-4.0767508258099357e-08
norm_mix1,knn,X,-0.7200589736886642
norm_mix1,knn,X^2,0.26004051196864936
norm_mix1,mice_rf,X,-0.23935789432896615
norm_mix1,mice_rf,X^2,0.08214920924636886
norm_mix1,mice_br,X,1.6587027018566418e-07
norm_mix1,mice_br,X^2,-4.048215451746275e-08
norm_mix1,knn,X,-0.35227763300831083
norm_mix1,knn,X^2,0.11624728854902795
norm_mix1,mice_rf,X,-0.36521254473014586
norm_mix1,mice_rf,X^2,0.12982988351622649
norm_mix1,mice_br,X,-1.2294515683297657e-07
norm_mix1,mice_br,X^2,3.193748532304139e-08
norm_mix1,knn,X,-0.5373139218848801
norm_mix1,knn,X^2,0.1870334753676111
norm_mix1,mice_rf,X,-0.47560119687101715
norm_mix1,mice_rf,X^2,0.15382155373005535
norm_mix1,mice_br,X,2.9457653738518227e-07
norm_mix1,mice_br,X^2,-7.52079521992855e-08
norm_mix1,knn,X,-0.6485582575589884
norm_mix1,knn,X^2,0.21063654632857626
norm_mix1,mice_rf,X,0.018547775264104314
norm_mix1,mice_rf,X^2,-0.0012140613835263108
norm_mix1,mice_br,X,-1.4357105360129888e-07
norm_mix1,mice_br,X^2,3.6459087526807834e-08
norm_mix1,knn,X,-0.25752977161229473
norm_mix1,knn,X^2,0.08909268004667718
norm_mix1,mice_rf,X,-0.15964899099157326
norm_mix1,mice_rf,X^2,0.06719226277190415
norm_mix1,mice_br,X,-1.4707730344731882e-07
norm_mix1,mice_br,X^2,3.946605686699911e-08
norm_mix1,knn,X,-0.360185519848417
norm_mix1,knn,X^2,0.1312393068903821
norm_mix1,mice_rf,X,-0.2676389793899749
norm_mix1,mice_rf,X^2,0.09034703368546629
norm_mix1,mice_br,X,3.0447698362578884e-08
norm_mix1,mice_br,X^2,-7.805329937937711e-09
norm_mix1,knn,X,-0.2868170460717593
norm_mix1,knn,X^2,0.09843106841885645
norm_mix1,mice_rf,X,-0.3046732016439561
norm_mix1,mice_rf,X^2,0.10542754635427332
norm_mix1,mice_br,X,-5.45176694899397e-08
norm_mix1,mice_br,X^2,1.4321157926211485e-08
norm_mix1,knn,X,-0.4453727707970352
norm_mix1,knn,X^2,0.15593035985190046
norm_mix1,mice_rf,X,-0.11530996678187545
norm_mix1,mice_rf,X^2,0.08458461361252034
norm_mix1,mice_br,X,1.1966470814250864e-07
norm_mix1,mice_br,X^2,-3.085024591342744e-08
norm_mix1,knn,X,-0.7552282818926439
norm_mix1,knn,X^2,0.26407461370502827
norm_mix1,mice_rf,X,-0.2502396287041332
norm_mix1,mice_rf,X^2,0.09143560736748543
norm_mix1,mice_br,X,-1.2798674797753727e-07
norm_mix1,mice_br,X^2,3.3541958099903046e-08
norm_mix1,knn,X,-0.27465083784514915
norm_mix1,knn,X^2,0.09897199156720812
norm_mix1,mice_rf,X,-0.2576693458735286
norm_mix1,mice_rf,X^2,0.08898159317026483
norm_mix1,mice_br,X,4.7115537293862435e-07
norm_mix1,mice_br,X^2,-1.1588801218653806e-07
norm_mix1,knn,X,-0.31775571976434996
norm_mix1,knn,X^2,0.10731006316108588
norm_mix1,mice_rf,X,-0.23721074880554482
norm_mix1,mice_rf,X^2,0.09363431599392547
norm_mix1,mice_br,X,-9.480915674764403e-08
norm_mix1,mice_br,X^2,2.5961021998810452e-08
norm_mix1,knn,X,-0.550665916228175
norm_mix1,knn,X^2,0.20032788446964123
norm_mix1,mice_rf,X,-0.12938402062503218
norm_mix1,mice_rf,X^2,0.04369013624379825
norm_mix1,mice_br,X,-4.246521956297052e-08
norm_mix1,mice_br,X^2,1.0877368339379245e-08
norm_mix1,knn,X,-0.23794970921356948
norm_mix1,knn,X^2,0.08150344683435762
norm_mix1,mice_rf,X,-0.3356899178520911
norm_mix1,mice_rf,X^2,0.11060207493484812
norm_mix1,mice_br,X,-2.4649882035543424e-07
norm_mix1,mice_br,X^2,6.227745930065256e-08
norm_mix1,knn,X,-0.4603819074116549
norm_mix1,knn,X^2,0.15426549401399775
norm_mix1,mice_rf,X,-0.47595217874457346
norm_mix1,mice_rf,X^2,0.16831808621625446
norm_mix1,mice_br,X,8.76709240760223e-08
norm_mix1,mice_br,X^2,-2.3025952922139896e-08
norm_mix1,knn,X,-0.526763069328652
norm_mix1,knn,X^2,0.18224416440857605
norm_mix1,mice_rf,X,-0.415754213490294
norm_mix1,mice_rf,X^2,0.15668117312686056
norm_mix1,mice_br,X,-4.1674846351647136e-08
norm_mix1,mice_br,X^2,1.1153578727274284e-08
norm_mix1,knn,X,-0.4699850193749376
norm_mix1,knn,X^2,0.16826685542678663
norm_mix1,mice_rf,X,-0.22165232099963528
norm_mix1,mice_rf,X^2,0.08051172416463849
norm_mix1,mice_br,X,-2.3486369915559587e-07
norm_mix1,mice_br,X^2,5.8811169934003273e-08
norm_mix1,knn,X,-0.2968337421683214
norm_mix1,knn,X^2,0.10235384646541304
norm_mix1,mice_rf,X,-0.09866553347376365
norm_mix1,mice_rf,X^2,0.03551867863329384
norm_mix1,mice_br,X,-3.0893011815358217e-07
norm_mix1,mice_br,X^2,7.890256947806763e-08
norm_mix1,knn,X,-0.25143886344779404
norm_mix1,knn,X^2,0.08539903861440847
norm_mix1,mice_rf,X,-0.03188296536117653
norm_mix1,mice_rf,X^2,0.03163276219977759
norm_mix1,mice_br,X,-2.8748333924522146e-07
norm_mix1,mice_br,X^2,7.156898851334852e-08
norm_mix1,knn,X,-0.5413972910473289
norm_mix1,knn,X^2,0.18213009119015783
norm_mix1,mice_rf,X,-0.3386641423579839
norm_mix1,mice_rf,X^2,0.13468218377378122
norm_mix1,mice_br,X,-4.2167831681982904e-07
norm_mix1,mice_br,X^2,1.1231078622664365e-07
norm_mix1,knn,X,-0.7362379583426273
norm_mix1,knn,X^2,0.267266122482155
norm_mix1,mice_rf,X,-0.13962419425449568
norm_mix1,mice_rf,X^2,0.0528279205345741
norm_mix1,mice_br,X,2.1319812071318757e-07
norm_mix1,mice_br,X^2,-5.5412432420354234e-08
norm_mix1,knn,X,-0.3502867265347698
norm_mix1,knn,X^2,0.12247774828334995
norm_mix1,mice_rf,X,-0.18079792522294036
norm_mix1,mice_rf,X^2,0.05901801346711011
norm_mix1,mice_br,X,-6.039393096735072e-09
norm_mix1,mice_br,X^2,1.441780916877633e-09
norm_mix1,knn,X,-0.40112578230000684
norm_mix1,knn,X^2,0.1287079958924653
norm_mix1,mice_rf,X,-0.12343954142652325
norm_mix1,mice_rf,X^2,0.04327605420811026
norm_mix1,mice_br,X,2.5233439149286e-07
norm_mix1,mice_br,X^2,-6.279022857214037e-08
norm_mix1,knn,X,-0.174913638742228
norm_mix1,knn,X^2,0.05753184645048496
norm_mix1,mice_rf,X,-0.055558443431887435
norm_mix1,mice_rf,X^2,0.027927315591912846
norm_mix1,mice_br,X,-9.358697561356878e-08
norm_mix1,mice_br,X^2,2.4095095696452508e-08
norm_mix1,knn,X,-0.3537125313163623
norm_mix1,knn,X^2,0.12513814813536012
norm_mix1,mice_rf,X,-0.21870639757014124
norm_mix1,mice_rf,X^2,0.07580265545874335
norm_mix1,mice_br,X,-1.2986457165187265e-07
norm_mix1,mice_br,X^2,3.3860942050267755e-08
norm_mix1,knn,X,-0.4204613144569677
norm_mix1,knn,X^2,0.14331342409722497
norm_mix1,mice_rf,X,-0.40691811523422255
norm_mix1,mice_rf,X^2,0.13587682902023648
norm_mix1,mice_br,X,-3.824001931773682e-07
norm_mix1,mice_br,X^2,9.735868977678301e-08
norm_mix1,knn,X,-0.46651296445075907
norm_mix1,knn,X^2,0.1534240296231647
norm_mix1,mice_rf,X,-0.24539658960759492
norm_mix1,mice_rf,X^2,0.07888965716412814
norm_mix1,mice_br,X,1.0078848289296593e-07
norm_mix1,mice_br,X^2,-2.5720168439491408e-08
norm_mix1,knn,X,-0.36139581655067465
norm_mix1,knn,X^2,0.119904843154501
norm_mix1,mice_rf,X,-0.43420073372775575
norm_mix1,mice_rf,X^2,0.15529523213027413
norm_mix1,mice_br,X,4.2019132617810125e-08
