"dist","estimator","col","res"
"norm","missForest","X",0.168409019360148
"norm","rfcont10","X",0.307473601353732
"norm","micePMM","X",0.222890453127918
"norm","missForest","X",0.206541433993119
"norm","rfcont10","X",0.344418593288068
"norm","micePMM","X",0.283297993102171
"norm","missForest","X",0.175470509338912
"norm","rfcont10","X",0.381846818938092
"norm","micePMM","X",0.249817234722192
"norm","missForest","X",0.134690301424184
"norm","rfcont10","X",0.337748430977797
"norm","micePMM","X",0.218343436619798
"norm","missForest","X",0.111730911513291
"norm","rfcont10","X",0.243640265238631
"norm","micePMM","X",0.188744753442262
"norm","missForest","X",0.183207369780939
"norm","rfcont10","X",0.305683078194368
"norm","micePMM","X",0.244374688275189
"norm","missForest","X",0.159220693195733
"norm","rfcont10","X",0.284729392097672
"norm","micePMM","X",0.238521364855861
"norm","missForest","X",0.118017721219025
"norm","rfcont10","X",0.280287384277987
"norm","micePMM","X",0.197731148149327
"norm","missForest","X",0.137524172383792
"norm","rfcont10","X",0.282489039754451
"norm","micePMM","X",0.238235453642778
"norm","missForest","X",0.186334646869547
"norm","rfcont10","X",0.338135297624641
"norm","micePMM","X",0.245065169836132
"norm","missForest","X",0.21634425355315
"norm","rfcont10","X",0.342633496569659
"norm","micePMM","X",0.281399828975043
"norm","missForest","X",0.151322465760547
"norm","rfcont10","X",0.340985665993062
"norm","micePMM","X",0.244010779519397
"norm","missForest","X",0.246753340271827
"norm","rfcont10","X",0.392569246221098
"norm","micePMM","X",0.31948154976682
"norm","missForest","X",0.148917109299406
"norm","rfcont10","X",0.298904436012397
"norm","micePMM","X",0.269590925421193
"norm","missForest","X",0.110786133103235
"norm","rfcont10","X",0.272033057992685
"norm","micePMM","X",0.255289521378871
"norm","missForest","X",0.121542873032256
"norm","rfcont10","X",0.326208293888347
"norm","micePMM","X",0.240588236485617
"norm","missForest","X",0.195051608253708
"norm","rfcont10","X",0.322460023978878
"norm","micePMM","X",0.317954359145752
"norm","missForest","X",0.128685044823919
"norm","rfcont10","X",0.309454579030302
"norm","micePMM","X",0.26419015943589
"norm","missForest","X",0.137276869822643
"norm","rfcont10","X",0.266189907248998
"norm","micePMM","X",0.208294980553783
"norm","missForest","X",0.146727040641723
"norm","rfcont10","X",0.300197975208521
"norm","micePMM","X",0.233932805137725
"norm","missForest","X",0.190725224480997
"norm","rfcont10","X",0.353377193369599
"norm","micePMM","X",0.28591811314837
"norm","missForest","X",0.0971567026071033
"norm","rfcont10","X",0.243367639234311
"norm","micePMM","X",0.212410117073469
"norm","missForest","X",0.205785269215089
"norm","rfcont10","X",0.358640610231554
"norm","micePMM","X",0.298961473994033
"norm","missForest","X",0.07821101345263
"norm","rfcont10","X",0.240302346372895
"norm","micePMM","X",0.19122065652889
"norm","missForest","X",0.11035831205367
"norm","rfcont10","X",0.24335612383246
"norm","micePMM","X",0.209501881729859
"norm","missForest","X",0.161961279754437
"norm","rfcont10","X",0.349869719992864
"norm","micePMM","X",0.229860803457854
"norm","missForest","X",0.110164058836095
"norm","rfcont10","X",0.289616025325808
"norm","micePMM","X",0.21660056157031
"norm","missForest","X",0.0888201043274058
"norm","rfcont10","X",0.272537543376225
"norm","micePMM","X",0.212441960245723
"norm","missForest","X",0.150956888712155
"norm","rfcont10","X",0.294991947806319
"norm","micePMM","X",0.199072170566708
"norm","missForest","X",0.127513614322232
"norm","rfcont10","X",0.298376220222461
"norm","micePMM","X",0.21517673562284
"norm","missForest","X",0.199012498050147
"norm","rfcont10","X",0.345410828983118
"norm","micePMM","X",0.231549884824673
"norm","missForest","X",0.223482077034125
"norm","rfcont10","X",0.36918479630809
"norm","micePMM","X",0.305552962146863
"norm","missForest","X",0.140958942384466
"norm","rfcont10","X",0.281083160887043
"norm","micePMM","X",0.266218862088996
"norm","missForest","X",0.125446051038508
"norm","rfcont10","X",0.311599814553916
"norm","micePMM","X",0.279810337483191
"norm","missForest","X",0.0881799245556417
"norm","rfcont10","X",0.269673031084135
"norm","micePMM","X",0.215105414683056
"norm","missForest","X",0.186822810451179
"norm","rfcont10","X",0.317053584171431
"norm","micePMM","X",0.247373365363838
"norm","missForest","X",0.189929613451538
"norm","rfcont10","X",0.347745601559347
"norm","micePMM","X",0.260672398526168
"norm","missForest","X",0.158398535727198
"norm","rfcont10","X",0.343591207955679
"norm","micePMM","X",0.302950629294242
"norm","missForest","X",0.119008775091756
"norm","rfcont10","X",0.288310198776894
"norm","micePMM","X",0.234492959662217
"norm","missForest","X",0.0880585407278736
"norm","rfcont10","X",0.264288226956725
"norm","micePMM","X",0.227757191796728
"norm","missForest","X",0.1725729699978
"norm","rfcont10","X",0.326651181282682
"norm","micePMM","X",0.246666949506849
"norm","missForest","X",0.140501245832482
"norm","rfcont10","X",0.336968671053137
"norm","micePMM","X",0.203493453278857
"norm","missForest","X",0.0938480640369338
"norm","rfcont10","X",0.255451633850813
"norm","micePMM","X",0.231121005410082
"norm","missForest","X",0.0827669433629634
"norm","rfcont10","X",0.237702303560234
"norm","micePMM","X",0.241172495273155
"norm","missForest","X",0.104102714268536
"norm","rfcont10","X",0.284828549194761
"norm","micePMM","X",0.251109892350399
"norm","missForest","X",0.104727354764511
"norm","rfcont10","X",0.265663537339889
"norm","micePMM","X",0.230317591938901
"norm","missForest","X",0.108471873249355
"norm","rfcont10","X",0.299646139379084
"norm","micePMM","X",0.231972113772949
"norm","missForest","X",0.174151727362295
"norm","rfcont10","X",0.28273772516207
"norm","micePMM","X",0.242086602217663
"norm","missForest","X",0.0882300964789339
"norm","rfcont10","X",0.265344318255994
"norm","micePMM","X",0.2263469344797
"norm","missForest","X",0.143934196606785
"norm","rfcont10","X",0.308119132724389
"norm","micePMM","X",0.219527244806255
"norm","missForest","X",0.117382412350802
"norm","rfcont10","X",0.289450765912167
"norm","micePMM","X",0.251555363540534
"norm","missForest","X",0.167945068138674
"norm","rfcont10","X",0.309857732873419
"norm","micePMM","X",0.214286891521332
"norm","missForest","X",0.179712937437386
"norm","rfcont10","X",0.324021715819015
"norm","micePMM","X",0.242828791567115
"norm","missForest","X",0.172236185123481
"norm","rfcont10","X",0.323619531274767
"norm","micePMM","X",0.310161557209207
"norm","missForest","X",0.189878733509263
"norm","rfcont10","X",0.332886566143256
"norm","micePMM","X",0.331858268515099
"norm","missForest","X",0.0815399606832291
"norm","rfcont10","X",0.270941537115272
"norm","micePMM","X",0.173295518985899
"norm","missForest","X",0.0882273151294962
"norm","rfcont10","X",0.278055468691822
"norm","micePMM","X",0.207832886667058
"norm","missForest","X",0.169396766982849
"norm","rfcont10","X",0.355527344879759
"norm","micePMM","X",0.22069722793816
"norm","missForest","X",0.0881182606521572
"norm","rfcont10","X",0.225525848450898
"norm","micePMM","X",0.194012427924466
"norm","missForest","X",0.0992023768440281
"norm","rfcont10","X",0.278433603886277
"norm","micePMM","X",0.249440869785333
"norm","missForest","X",0.127793359471136
"norm","rfcont10","X",0.303910981654948
"norm","micePMM","X",0.21508423360763
"norm","missForest","X",0.187835851379023
"norm","rfcont10","X",0.318628131232658
"norm","micePMM","X",0.205075479791401
"norm","missForest","X",0.251724391567911
"norm","rfcont10","X",0.394356791724934
"norm","micePMM","X",0.333075664380902
"norm","missForest","X",0.0844891376303833
"norm","rfcont10","X",0.26736370627219
"norm","micePMM","X",0.272336620901426
"norm","missForest","X",0.134902385680074
"norm","rfcont10","X",0.270891919176636
"norm","micePMM","X",0.224846889928297
"norm","missForest","X",0.172575577133089
"norm","rfcont10","X",0.33123203352928
"norm","micePMM","X",0.273696376017809
"norm","missForest","X",0.11413755137801
"norm","rfcont10","X",0.276594362032317
"norm","micePMM","X",0.22314265309774
"norm","missForest","X",0.148686572825677
"norm","rfcont10","X",0.268464769594707
"norm","micePMM","X",0.2375203943211
"norm","missForest","X",0.0886597875522055
"norm","rfcont10","X",0.248753746137394
"norm","micePMM","X",0.200619976817554
"norm","missForest","X",0.0924635581589898
"norm","rfcont10","X",0.28539547109374
"norm","micePMM","X",0.230521204417417
"norm","missForest","X",0.129571239111508
"norm","rfcont10","X",0.248708649659823
"norm","micePMM","X",0.20881539087228
"norm","missForest","X",0.129871356117677
"norm","rfcont10","X",0.32977468948909
"norm","micePMM","X",0.233198549832233
"norm","missForest","X",0.12657965183321
"norm","rfcont10","X",0.344708109833546
"norm","micePMM","X",0.25543752813267
"norm","missForest","X",0.0897141384302252
"norm","rfcont10","X",0.249176582900658
"norm","micePMM","X",0.156516274746387
"norm","missForest","X",0.220073740080784
"norm","rfcont10","X",0.326818171641153
"norm","micePMM","X",0.280546737698217
