"dist","estimator","col","nrmse"
"norm","missForest","X",0.463045456500236
"norm","rfcont10","X",0.459044083140634
"norm","micePMM","X",0.508863453420831
"norm","missForest","X",0.486174128331918
"norm","rfcont10","X",0.471275139281556
"norm","micePMM","X",0.582219132230873
"norm","missForest","X",0.431318466147757
"norm","rfcont10","X",0.55740504904641
"norm","micePMM","X",0.54950633913148
"norm","missForest","X",0.526454515283553
"norm","rfcont10","X",0.461071238720292
"norm","micePMM","X",0.564385173775657
"norm","missForest","X",0.500620035493702
"norm","rfcont10","X",0.470793747215877
"norm","micePMM","X",0.540039605356546
"norm","missForest","X",0.538040193533894
"norm","rfcont10","X",0.475899947376541
"norm","micePMM","X",0.617879449172758
"norm","missForest","X",0.487111600128114
"norm","rfcont10","X",0.484118372984143
"norm","micePMM","X",0.533517394309945
"norm","missForest","X",0.459996170638607
"norm","rfcont10","X",0.514641459676509
"norm","micePMM","X",0.585953692111392
"norm","missForest","X",0.514360107658074
"norm","rfcont10","X",0.489196922882367
"norm","micePMM","X",0.557140898117365
"norm","missForest","X",0.49422313836613
"norm","rfcont10","X",0.469639561472428
"norm","micePMM","X",0.536477926041713
"norm","missForest","X",0.526446071546503
"norm","rfcont10","X",0.531309210232975
"norm","micePMM","X",0.587698797132219
"norm","missForest","X",0.521678734861245
"norm","rfcont10","X",0.505204059720472
"norm","micePMM","X",0.548432690781743
"norm","missForest","X",0.587124738345967
"norm","rfcont10","X",0.503157549257945
"norm","micePMM","X",0.546487735628236
"norm","missForest","X",0.508291192198011
"norm","rfcont10","X",0.496304616687847
"norm","micePMM","X",0.610292855917736
"norm","missForest","X",0.582341791404377
"norm","rfcont10","X",0.484885330836802
"norm","micePMM","X",0.604074481820475
"norm","missForest","X",0.488562294387102
"norm","rfcont10","X",0.539861965418665
"norm","micePMM","X",0.541027294983241
"norm","missForest","X",0.565448905889605
"norm","rfcont10","X",0.48488462352788
"norm","micePMM","X",0.489606870517413
"norm","missForest","X",0.514619395424975
"norm","rfcont10","X",0.538328544205589
"norm","micePMM","X",0.515808709792493
"norm","missForest","X",0.537325435580836
"norm","rfcont10","X",0.501297705553479
"norm","micePMM","X",0.592340272077929
"norm","missForest","X",0.464814199037649
"norm","rfcont10","X",0.51909425105994
"norm","micePMM","X",0.603580738383259
"norm","missForest","X",0.536951391231735
"norm","rfcont10","X",0.514985123586561
"norm","micePMM","X",0.615706694536176
"norm","missForest","X",0.483569821177066
"norm","rfcont10","X",0.456965369343033
"norm","micePMM","X",0.537193056436003
"norm","missForest","X",0.504160453525681
"norm","rfcont10","X",0.49113021346105
"norm","micePMM","X",0.575895727598125
"norm","missForest","X",0.537389864970349
"norm","rfcont10","X",0.494890947970692
"norm","micePMM","X",0.545298362256416
"norm","missForest","X",0.464696548063599
"norm","rfcont10","X",0.483265509022052
"norm","micePMM","X",0.577558995656623
"norm","missForest","X",0.489550880141027
"norm","rfcont10","X",0.5232949312875
"norm","micePMM","X",0.529330171816606
"norm","missForest","X",0.4808480478481
"norm","rfcont10","X",0.467453819775561
"norm","micePMM","X",0.54843238677834
"norm","missForest","X",0.466646834900733
"norm","rfcont10","X",0.518673917704139
"norm","micePMM","X",0.579654464845235
"norm","missForest","X",0.485502557035697
"norm","rfcont10","X",0.5101701489175
"norm","micePMM","X",0.588892773698744
"norm","missForest","X",0.55003643847429
"norm","rfcont10","X",0.466741684102798
"norm","micePMM","X",0.601865088783002
"norm","missForest","X",0.536295971300948
"norm","rfcont10","X",0.495677177065928
"norm","micePMM","X",0.581105992552355
"norm","missForest","X",0.514274501193378
"norm","rfcont10","X",0.483590085557871
"norm","micePMM","X",0.608086616543228
"norm","missForest","X",0.446156306047245
"norm","rfcont10","X",0.486096734534107
"norm","micePMM","X",0.603596338967036
"norm","missForest","X",0.520282671619417
"norm","rfcont10","X",0.508094359804927
"norm","micePMM","X",0.550712215416361
"norm","missForest","X",0.51053494736327
"norm","rfcont10","X",0.486984581029336
"norm","micePMM","X",0.591410525000187
"norm","missForest","X",0.500788849431745
"norm","rfcont10","X",0.4750325081659
"norm","micePMM","X",0.561956511234106
"norm","missForest","X",0.47552026716347
"norm","rfcont10","X",0.459439820677551
"norm","micePMM","X",0.549738716135255
"norm","missForest","X",0.456579957209717
"norm","rfcont10","X",0.490641480552268
"norm","micePMM","X",0.544920946803585
"norm","missForest","X",0.512495238448011
"norm","rfcont10","X",0.479743273726701
"norm","micePMM","X",0.535048525844167
"norm","missForest","X",0.478163252721215
"norm","rfcont10","X",0.445052821079262
"norm","micePMM","X",0.541083819890924
"norm","missForest","X",0.497352308149705
"norm","rfcont10","X",0.507394898051897
"norm","micePMM","X",0.587582985096712
"norm","missForest","X",0.478712911700873
"norm","rfcont10","X",0.464121872388403
"norm","micePMM","X",0.538464177596409
"norm","missForest","X",0.469174296865634
"norm","rfcont10","X",0.501760884920472
"norm","micePMM","X",0.561854395928381
"norm","missForest","X",0.509708469685525
"norm","rfcont10","X",0.525438427214227
"norm","micePMM","X",0.525546447170897
"norm","missForest","X",0.447760327679859
"norm","rfcont10","X",0.528337755020546
"norm","micePMM","X",0.585777619635717
"norm","missForest","X",0.467399614204766
"norm","rfcont10","X",0.48600906372501
"norm","micePMM","X",0.547163451418008
"norm","missForest","X",0.516210194093134
"norm","rfcont10","X",0.472618820900935
"norm","micePMM","X",0.547367199946773
"norm","missForest","X",0.515756883460638
"norm","rfcont10","X",0.502469876794747
"norm","micePMM","X",0.581552328575739
"norm","missForest","X",0.455893436120393
"norm","rfcont10","X",0.474544822783601
"norm","micePMM","X",0.598675884550514
"norm","missForest","X",0.556221979308085
"norm","rfcont10","X",0.453585457892822
"norm","micePMM","X",0.577724665788723
"norm","missForest","X",0.448919868178083
"norm","rfcont10","X",0.489921002842479
"norm","micePMM","X",0.53291794450741
"norm","missForest","X",0.499210622364974
"norm","rfcont10","X",0.462538654850845
"norm","micePMM","X",0.532191587461871
"norm","missForest","X",0.515140575172874
"norm","rfcont10","X",0.514800732892028
"norm","micePMM","X",0.63702037893451
"norm","missForest","X",0.522776365155921
"norm","rfcont10","X",0.466738446729719
"norm","micePMM","X",0.586488262621946
"norm","missForest","X",0.542850744461202
"norm","rfcont10","X",0.484222469200999
"norm","micePMM","X",0.61212667589225
"norm","missForest","X",0.514621503051243
"norm","rfcont10","X",0.53408907573265
"norm","micePMM","X",0.618259699508488
"norm","missForest","X",0.529337820356922
"norm","rfcont10","X",0.53577258291242
"norm","micePMM","X",0.523311701535793
"norm","missForest","X",0.434353226194053
"norm","rfcont10","X",0.477752540551553
"norm","micePMM","X",0.51812817342268
"norm","missForest","X",0.507791530313651
"norm","rfcont10","X",0.482242103019
"norm","micePMM","X",0.554915301052859
"norm","missForest","X",0.537758034307711
"norm","rfcont10","X",0.44866507093214
"norm","micePMM","X",0.603497976925065
"norm","missForest","X",0.509424004439852
"norm","rfcont10","X",0.46843719962165
"norm","micePMM","X",0.566126072845784
"norm","missForest","X",0.51082632986844
"norm","rfcont10","X",0.469198306983414
"norm","micePMM","X",0.574318757650148
"norm","missForest","X",0.4309394489438
"norm","rfcont10","X",0.454060884762852
"norm","micePMM","X",0.529255681977354
"norm","missForest","X",0.491782490989361
"norm","rfcont10","X",0.50819036060472
"norm","micePMM","X",0.543885736593303
"norm","missForest","X",0.469083811631163
"norm","rfcont10","X",0.486131701746963
"norm","micePMM","X",0.557000912258946
"norm","missForest","X",0.438987871780357
"norm","rfcont10","X",0.511350327656539
"norm","micePMM","X",0.533440548705512
"norm","missForest","X",0.466322192228905
"norm","rfcont10","X",0.460125328830227
"norm","micePMM","X",0.541499000871386
"norm","missForest","X",0.431201154578599
"norm","rfcont10","X",0.470420374989786
"norm","micePMM","X",0.503006469827335
"norm","missForest","X",0.523567504449617
"norm","rfcont10","X",0.503683865654636
"norm","micePMM","X",0.559442278279983
"norm","missForest","X",0.517353118525984
"norm","rfcont10","X",0.501287951465183
"norm","micePMM","X",0.633570810364634
"norm","missForest","X",0.535457817292687
"norm","rfcont10","X",0.536324162539328
"norm","micePMM","X",0.518330234959181
"norm","missForest","X",0.483655467864077
"norm","rfcont10","X",0.531033771407415
"norm","micePMM","X",0.589621391793701
"norm","missForest","X",0.492773805660375
"norm","rfcont10","X",0.497485175336115
"norm","micePMM","X",0.536707767081361
"norm","missForest","X",0.485548923238206
"norm","rfcont10","X",0.553264547407799
"norm","micePMM","X",0.620535960162087
"norm","missForest","X",0.522475905011724
"norm","rfcont10","X",0.493943445101675
"norm","micePMM","X",0.620228748165027
"norm","missForest","X",0.495900818992729
"norm","rfcont10","X",0.476997469837048
"norm","micePMM","X",0.598697731595976
"norm","missForest","X",0.494226417128219
"norm","rfcont10","X",0.497179726589951
"norm","micePMM","X",0.559028957640993
"norm","missForest","X",0.469924674466888
"norm","rfcont10","X",0.476916974208479
"norm","micePMM","X",0.576015120099195
"norm","missForest","X",0.513174486216343
"norm","rfcont10","X",0.466247442987795
"norm","micePMM","X",0.548145710494064
"norm","missForest","X",0.449476838033574
"norm","rfcont10","X",0.491617047259276
"norm","micePMM","X",0.590017860673831
"norm","missForest","X",0.505418887657341
"norm","rfcont10","X",0.470655351018155
"norm","micePMM","X",0.533133996824344
"norm","missForest","X",0.484764322975803
"norm","rfcont10","X",0.500747739235057
"norm","micePMM","X",0.53963526860972
"norm","missForest","X",0.548812635298344
"norm","rfcont10","X",0.487659057313149
"norm","micePMM","X",0.526543420907321
"norm","missForest","X",0.471144930276749
"norm","rfcont10","X",0.493690934169859
"norm","micePMM","X",0.619375795135514
"norm","missForest","X",0.588587393711518
"norm","rfcont10","X",0.492851010890724
"norm","micePMM","X",0.575001186141623
"norm","missForest","X",0.509529500084007
"norm","rfcont10","X",0.464380225221888
"norm","micePMM","X",0.555991630863822
"norm","missForest","X",0.490720038811511
"norm","rfcont10","X",0.466399841906731
"norm","micePMM","X",0.517137918140446
"norm","missForest","X",0.506771289865196
"norm","rfcont10","X",0.471809659240849
"norm","micePMM","X",0.583680511032555
"norm","missForest","X",0.541167347121435
"norm","rfcont10","X",0.497881539503763
"norm","micePMM","X",0.585049229060681
"norm","missForest","X",0.486917663605403
"norm","rfcont10","X",0.479354364268204
"norm","micePMM","X",0.529116696752489
"norm","missForest","X",0.480925692070226
"norm","rfcont10","X",0.561359826231814
"norm","micePMM","X",0.504525127539109
"norm","missForest","X",0.517500315427744
"norm","rfcont10","X",0.548060378936618
"norm","micePMM","X",0.560183677742441
"norm","missForest","X",0.443198436576134
"norm","rfcont10","X",0.487503193463957
"norm","micePMM","X",0.513601248531064
"norm","missForest","X",0.419909060897128
"norm","rfcont10","X",0.529130064379195
"norm","micePMM","X",0.60781308578715
"norm","missForest","X",0.501616170510425
"norm","rfcont10","X",0.449056866098092
"norm","micePMM","X",0.565437741438511
"norm","missForest","X",0.528250170297411
"norm","rfcont10","X",0.440301643773195
"norm","micePMM","X",0.56984303385282
"norm","missForest","X",0.471701564211433
"norm","rfcont10","X",0.46506049515431
"norm","micePMM","X",0.549872396231526
"norm","missForest","X",0.504222912504471
"norm","rfcont10","X",0.500582708053301
"norm","micePMM","X",0.591410321758009
"norm","missForest","X",0.51510186166122
"norm","rfcont10","X",0.494302751942973
"norm","micePMM","X",0.591034401891212
"norm","missForest","X",0.471021651143701
"norm","rfcont10","X",0.473131234477424
"norm","micePMM","X",0.560488682543969
"unif","missForest","X",0.694322483483197
"unif","rfcont10","X",0.695893218763528
"unif","micePMM","X",1.02367281210273
"unif","missForest","X",0.748787458190193
"unif","rfcont10","X",0.680573247201069
"unif","micePMM","X",0.99425847354504
"unif","missForest","X",0.736003179286131
"unif","rfcont10","X",0.721340640189476
"unif","micePMM","X",1.02316195238703
"unif","missForest","X",0.765349200587916
"unif","rfcont10","X",0.722253186019789
"unif","micePMM","X",0.960995666991713
"unif","missForest","X",0.725551221668865
"unif","rfcont10","X",0.705123268372387
"unif","micePMM","X",1.01080431324293
"unif","missForest","X",0.770987520010245
"unif","rfcont10","X",0.725496994113178
"unif","micePMM","X",0.967429685002925
"unif","missForest","X",0.747538367934613
"unif","rfcont10","X",0.676224110755427
"unif","micePMM","X",1.06997284850148
"unif","missForest","X",0.745730814642303
"unif","rfcont10","X",0.724514392906898
"unif","micePMM","X",0.978201228888446
"unif","missForest","X",0.783481236228567
"unif","rfcont10","X",0.687972270609684
"unif","micePMM","X",0.976707147748583
"unif","missForest","X",0.699904762296477
"unif","rfcont10","X",0.721643063427209
"unif","micePMM","X",0.982682545463427
"unif","missForest","X",0.708226705290382
"unif","rfcont10","X",0.701738010901214
"unif","micePMM","X",1.01993344895829
"unif","missForest","X",0.788595764532446
"unif","rfcont10","X",0.739647686061511
"unif","micePMM","X",0.976458265332967
"unif","missForest","X",0.762493504446915
"unif","rfcont10","X",0.739160327108031
"unif","micePMM","X",0.986377887726284
"unif","missForest","X",0.780948858789236
"unif","rfcont10","X",0.723692075253422
"unif","micePMM","X",0.929519243550005
"unif","missForest","X",0.73385330661796
"unif","rfcont10","X",0.683876548424895
"unif","micePMM","X",1.08203094769937
"unif","missForest","X",0.718305420743655
"unif","rfcont10","X",0.732468216522672
"unif","micePMM","X",1.01763055151978
"unif","missForest","X",0.716771957858718
"unif","rfcont10","X",0.673506400225322
"unif","micePMM","X",1.00342084584864
"unif","missForest","X",0.74049816250616
"unif","rfcont10","X",0.698580364444112
"unif","micePMM","X",0.9434496961943
"unif","missForest","X",0.804240710669899
"unif","rfcont10","X",0.729535897583182
"unif","micePMM","X",0.918811031951249
"unif","missForest","X",0.728484834046193
"unif","rfcont10","X",0.677144931686619
"unif","micePMM","X",1.06687680483094
"unif","missForest","X",0.74349739957364
"unif","rfcont10","X",0.723093364303954
"unif","micePMM","X",1.04521016189016
"unif","missForest","X",0.744569787043604
"unif","rfcont10","X",0.712968307820245
"unif","micePMM","X",0.997032452659979
"unif","missForest","X",0.731838829063336
"unif","rfcont10","X",0.738076326118131
"unif","micePMM","X",1.04412424577565
"unif","missForest","X",0.733409628476886
"unif","rfcont10","X",0.784806675994443
"unif","micePMM","X",1.03331039507023
"unif","missForest","X",0.740246440674476
"unif","rfcont10","X",0.726971625932616
"unif","micePMM","X",0.949407690448548
"unif","missForest","X",0.72811281977072
"unif","rfcont10","X",0.642942922544865
"unif","micePMM","X",0.995457664783214
"unif","missForest","X",0.740437536934904
"unif","rfcont10","X",0.734990276969352
"unif","micePMM","X",1.00730168616797
"unif","missForest","X",0.746205777273182
"unif","rfcont10","X",0.726638231338889
"unif","micePMM","X",0.989526785690862
"unif","missForest","X",0.706957859817659
"unif","rfcont10","X",0.707920590471744
"unif","micePMM","X",1.04937201562242
"unif","missForest","X",0.749458384352136
"unif","rfcont10","X",0.714426607363804
"unif","micePMM","X",1.06701250180887
"unif","missForest","X",0.73822856195689
"unif","rfcont10","X",0.730740343066201
"unif","micePMM","X",0.972003563812772
"unif","missForest","X",0.67267339100004
"unif","rfcont10","X",0.708577395151291
"unif","micePMM","X",0.988275035803408
"unif","missForest","X",0.783382556589026
"unif","rfcont10","X",0.713489290935249
"unif","micePMM","X",0.964899431414122
"unif","missForest","X",0.741845676300893
"unif","rfcont10","X",0.742269003293778
"unif","micePMM","X",0.985677361124112
"unif","missForest","X",0.766893507765861
"unif","rfcont10","X",0.768894683194655
"unif","micePMM","X",0.991513047916397
"unif","missForest","X",0.802805496210351
"unif","rfcont10","X",0.714845827606083
"unif","micePMM","X",0.964559470784941
"unif","missForest","X",0.728938525991186
"unif","rfcont10","X",0.727397381533057
"unif","micePMM","X",1.03765181570312
"unif","missForest","X",0.747837607426365
"unif","rfcont10","X",0.742641363612278
"unif","micePMM","X",0.992849285859348
"unif","missForest","X",0.763224292430503
"unif","rfcont10","X",0.773433330996954
"unif","micePMM","X",1.02928560510335
"unif","missForest","X",0.725814317308754
"unif","rfcont10","X",0.707153960126746
"unif","micePMM","X",0.987355508231667
"unif","missForest","X",0.734223951099995
"unif","rfcont10","X",0.699833763483255
"unif","micePMM","X",0.993779080309784
"unif","missForest","X",0.764983527910746
"unif","rfcont10","X",0.717239029533284
"unif","micePMM","X",0.96081393166467
"unif","missForest","X",0.769753313673471
"unif","rfcont10","X",0.668216968872321
"unif","micePMM","X",1.0052957559848
"unif","missForest","X",0.758844340779758
"unif","rfcont10","X",0.727744379126093
"unif","micePMM","X",1.02287831417671
"unif","missForest","X",0.782150724156879
"unif","rfcont10","X",0.703064834713526
"unif","micePMM","X",1.03431771758213
"unif","missForest","X",0.728125299422721
"unif","rfcont10","X",0.709847597852003
"unif","micePMM","X",1.02359796577976
"unif","missForest","X",0.763499942483566
"unif","rfcont10","X",0.766706508666159
"unif","micePMM","X",1.09475162426038
"unif","missForest","X",0.752030131649821
"unif","rfcont10","X",0.705688625053049
"unif","micePMM","X",0.967681286277031
"unif","missForest","X",0.679555088918237
"unif","rfcont10","X",0.684544662018071
"unif","micePMM","X",1.04160494215872
"unif","missForest","X",0.739366107601855
"unif","rfcont10","X",0.726151009815273
"unif","micePMM","X",1.00779712701603
"unif","missForest","X",0.699942887245562
"unif","rfcont10","X",0.712154694587834
"unif","micePMM","X",1.04650937126322
"unif","missForest","X",0.753602734302662
"unif","rfcont10","X",0.746375269791164
"unif","micePMM","X",0.964529737179549
"unif","missForest","X",0.780787703076404
"unif","rfcont10","X",0.742140680611171
"unif","micePMM","X",1.10782211784793
"unif","missForest","X",0.730996729923884
"unif","rfcont10","X",0.702222965733306
"unif","micePMM","X",1.05748387067044
"unif","missForest","X",0.706312243418495
"unif","rfcont10","X",0.703398840550946
"unif","micePMM","X",0.950896183754199
"unif","missForest","X",0.733360268911083
"unif","rfcont10","X",0.705177060923775
"unif","micePMM","X",1.00237102258532
"unif","missForest","X",0.751332326596301
"unif","rfcont10","X",0.730351388706474
"unif","micePMM","X",1.0918363509455
"unif","missForest","X",0.738902567856877
"unif","rfcont10","X",0.72975277006995
"unif","micePMM","X",1.00021802947804
"unif","missForest","X",0.749143215318932
"unif","rfcont10","X",0.751527715395976
"unif","micePMM","X",1.14847055563714
"unif","missForest","X",0.794519691409657
"unif","rfcont10","X",0.714416579424407
"unif","micePMM","X",0.98975023628155
"unif","missForest","X",0.732763836042842
"unif","rfcont10","X",0.746920013631052
"unif","micePMM","X",1.01763100570661
"unif","missForest","X",0.742390557881295
"unif","rfcont10","X",0.710810070009428
"unif","micePMM","X",1.00367970768751
"unif","missForest","X",0.718464068668048
"unif","rfcont10","X",0.767738002768706
"unif","micePMM","X",1.04319479688903
"unif","missForest","X",0.744009423904629
"unif","rfcont10","X",0.768778905334717
"unif","micePMM","X",0.987586607769835
"unif","missForest","X",0.753793880817445
"unif","rfcont10","X",0.725876111309137
"unif","micePMM","X",0.935682262537255
"unif","missForest","X",0.724194587178997
"unif","rfcont10","X",0.750506967235063
"unif","micePMM","X",0.978527911550465
"unif","missForest","X",0.773065748468704
