"dist","estimator","col","relb_coef"
"norm","missForest","X",-0.500160210081476
"norm","missForest","X2",0.191207832385533
"norm","rfcont10","X",-0.648264887278933
"norm","rfcont10","X2",0.249428343726484
"norm","micePMM","X",-0.566032545388053
"norm","micePMM","X2",0.239338261690121
"norm","missForest","X",-1.41133728604078
"norm","missForest","X2",0.393758652059792
"norm","rfcont10","X",-1.36961315318927
"norm","rfcont10","X2",0.388371135256182
"norm","micePMM","X",-1.98859871607812
"norm","micePMM","X2",0.618927772420586
"norm","missForest","X",-0.602432882027231
"norm","missForest","X2",0.201384274479103
"norm","rfcont10","X",-0.533570376865715
"norm","rfcont10","X2",0.195901969886422
"norm","micePMM","X",-0.826525639022052
"norm","micePMM","X2",0.270117690838797
"norm","missForest","X",-1.10178790753752
"norm","missForest","X2",0.419433543923312
"norm","rfcont10","X",-0.687481016679806
"norm","rfcont10","X2",0.278010427981891
"norm","micePMM","X",-0.794370730446413
"norm","micePMM","X2",0.314595370869684
"norm","missForest","X",-1.31249115152035
"norm","missForest","X2",0.337337669573525
"norm","rfcont10","X",-1.15894972868005
"norm","rfcont10","X2",0.305712079437582
"norm","micePMM","X",-1.07903392752857
"norm","micePMM","X2",0.309333119597968
"norm","missForest","X",-1.08747858490281
"norm","missForest","X2",0.329472008639514
"norm","rfcont10","X",-1.25100007474558
"norm","rfcont10","X2",0.372993133103702
"norm","micePMM","X",-1.25707871409254
"norm","micePMM","X2",0.377790274016662
"norm","missForest","X",-1.31402880154541
"norm","missForest","X2",0.446181648156059
"norm","rfcont10","X",-1.43485622936131
"norm","rfcont10","X2",0.504482645146615
"norm","micePMM","X",-1.20953113921417
"norm","micePMM","X2",0.448931524484062
"norm","missForest","X",-0.522339439139526
"norm","missForest","X2",0.18773228903362
"norm","rfcont10","X",-0.576653220383785
"norm","rfcont10","X2",0.210076058720301
"norm","micePMM","X",-0.504501625088164
"norm","micePMM","X2",0.193219636333381
"norm","missForest","X",-0.94596096151631
"norm","missForest","X2",0.331703263160657
"norm","rfcont10","X",-1.38588847622083
"norm","rfcont10","X2",0.499390414429029
"norm","micePMM","X",-2.05278347617382
"norm","micePMM","X2",0.733977377679656
"norm","missForest","X",-1.17759211329232
"norm","missForest","X2",0.4078168160118
"norm","rfcont10","X",-1.0131891113451
"norm","rfcont10","X2",0.371382328020448
"norm","micePMM","X",-1.00158283578147
"norm","micePMM","X2",0.362615900555316
"norm","missForest","X",-0.540790278535782
"norm","missForest","X2",0.179114787985144
"norm","rfcont10","X",-0.460692905030209
"norm","rfcont10","X2",0.168793080025731
"norm","micePMM","X",-0.866934682121036
"norm","micePMM","X2",0.324305246096452
"norm","missForest","X",-0.433809591932165
"norm","missForest","X2",0.171025397584001
"norm","rfcont10","X",-0.60453065728441
"norm","rfcont10","X2",0.225987692892513
"norm","micePMM","X",-0.462980131753668
"norm","micePMM","X2",0.188971659636834
"norm","missForest","X",-1.00292126592804
"norm","missForest","X2",0.281663332010459
"norm","rfcont10","X",-0.81242014158939
"norm","rfcont10","X2",0.232493656310873
"norm","micePMM","X",-1.10398480688649
"norm","micePMM","X2",0.355450143769985
"norm","missForest","X",-1.93749085859433
"norm","missForest","X2",0.360591009529873
"norm","rfcont10","X",-2.59567924580467
"norm","rfcont10","X2",0.481534011519473
"norm","micePMM","X",-3.3488581996317
"norm","micePMM","X2",0.674512729681789
