"dist","estimator","col","nrmse"
"norm","missForest","X",0.0806240751579069
"norm","rfcont10","X",0.108422180993193
"norm","micePMM","X",0.13818756176719
"norm","missForest","X",0.128787465979569
"norm","rfcont10","X",0.152278369916604
"norm","micePMM","X",0.154422731708804
"norm","missForest","X",0.11188737195002
"norm","rfcont10","X",0.129092475115473
"norm","micePMM","X",0.128494364173462
"norm","missForest","X",0.175786562312664
"norm","rfcont10","X",0.187800043319574
"norm","micePMM","X",0.201852594484736
"norm","missForest","X",0.0818328412994984
"norm","rfcont10","X",0.104975234224484
"norm","micePMM","X",0.182174666098546
"norm","missForest","X",0.0796307794477391
"norm","rfcont10","X",0.0966932511990345
"norm","micePMM","X",0.0956376796781111
"norm","missForest","X",0.130230154930974
"norm","rfcont10","X",0.151172537431309
"norm","micePMM","X",0.290411298572415
"norm","missForest","X",0.138479544906215
"norm","rfcont10","X",0.195110889049683
"norm","micePMM","X",0.223500495692719
"norm","missForest","X",0.111409823562011
"norm","rfcont10","X",0.133157783784694
"norm","micePMM","X",0.216880923308042
"norm","missForest","X",0.114736048871569
"norm","rfcont10","X",0.129301290091736
"norm","micePMM","X",0.149273775216647
"norm","missForest","X",0.104917622042888
"norm","rfcont10","X",0.149518176360202
"norm","micePMM","X",0.15574977253006
"norm","missForest","X",0.213336071702132
"norm","rfcont10","X",0.233339390270732
"norm","micePMM","X",0.284425688894846
"norm","missForest","X",0.0960997439233849
"norm","rfcont10","X",0.123953198424276
"norm","micePMM","X",0.15448523622644
"norm","missForest","X",0.152448394158238
"norm","rfcont10","X",0.157479523416256
"norm","micePMM","X",0.167067746982133
"norm","missForest","X",0.131445307246845
"norm","rfcont10","X",0.145352730997024
"norm","micePMM","X",0.142139407207012
"norm","missForest","X",0.0881783091456486
"norm","rfcont10","X",0.123253686185627
"norm","micePMM","X",0.179032865878565
"norm","missForest","X",0.0663537281091627
"norm","rfcont10","X",0.0702636090893193
"norm","micePMM","X",0.161852656098994
"norm","missForest","X",0.0955176963530055
"norm","rfcont10","X",0.130908535747966
"norm","micePMM","X",0.161095838404671
